"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.allele_data_interval","output.individual_data_interval","output.locus_data_interval","output.meta_data_interval","output.output_base_path","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"0","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-1"
"1","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-15-1"
"10","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-04","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-05","10000","2","default","20","run-2022-06-15-1"
"11","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-04","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-06","10000","2","default","20","run-2022-06-15-1"
"12","ACDEFGHIKLMNOPQRSTUVWY","100","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-1"
"13","ACDEFGHIKLMNOPQRSTUVWY","150","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-1"
"14","ACDEFGHIKLMNOPQRSTUVWY","200","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-1"
"15","ACDEFGHIKLMNOPQRSTUVWY","250","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-1"
"2","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-05","10000","2","default","20","run-2022-06-15-1"
"3","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-05","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-06","10000","2","default","20","run-2022-06-15-1"
"4","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-06","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-1"
"5","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-06","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-15-1"
"6","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-06","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-05","10000","2","default","20","run-2022-06-15-1"
"7","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-06","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-06","10000","2","default","20","run-2022-06-15-1"
"8","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-04","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-1"
"9","ACDEFGHIKLMNOPQRSTUVWY","50","200","9","75","1","-1","3e-04","10000","2","10","4","1","20","1","1","./output/","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-15-1"
